                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4213,                 2.8329,                0.95523,                0.89659,                0.72595,                0.81568,                0.51949,                   1.13,                0.81354,                0.85712,             0.00041291,             0.00041291,             0.00041291
                      2,                 1.3075,                0.94871,                0.91231,                0.88414,                0.73335,                0.85995,                0.58281,                 1.0328,                0.77632,                0.84309,             0.00082684,             0.00082684,             0.00082684
                      3,                 1.2677,                0.87669,                0.91702,                0.92471,                0.73836,                0.82639,                0.54026,                 1.0542,                0.80148,                0.85087,               0.001238,               0.001238,               0.001238
                      4,                 1.2461,                0.87508,                0.90241,                0.90279,                0.73412,                0.84157,                0.55674,                 1.0108,                0.77309,                0.84262,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.2158,                0.79967,                0.89952,                0.92945,                0.78595,                 0.8704,                0.58722,                 1.0214,                 0.6915,                0.85227,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.1969,                0.74671,                0.90492,                0.93546,                0.76433,                0.87001,                0.55161,                 1.0956,                0.72359,                0.85726,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.1984,                0.73353,                0.89354,                0.92821,                0.78116,                0.88855,                0.57465,                 1.1104,                 0.6749,                0.85033,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.1963,                0.73478,                0.89539,                0.91275,                0.80032,                 0.8767,                0.61581,                0.94983,                0.66156,                0.83442,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.1457,                0.69683,                0.88551,                0.93051,                0.79371,                0.88697,                0.61608,                0.96631,                0.66301,                0.83328,               0.001217,               0.001217,               0.001217
                     10,                 1.1236,                0.67355,                0.87433,                0.93926,                 0.8155,                0.88743,                0.61749,                0.96519,                0.65471,                0.83449,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.1437,                0.67016,                0.88468,                0.84611,                0.82717,                0.90233,                0.62162,                0.98344,                0.63442,                0.83918,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.1588,                0.68139,                0.88066,                0.92651,                0.83256,                0.90257,                0.64062,                 0.9169,                0.59811,                 0.8274,              0.0012046,              0.0012046,              0.0012046
