                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0193,                0.58283,                0.84769,                0.95087,                0.84485,                0.90213,                0.64814,                0.86604,                0.55907,                0.81447,              0.0011056,              0.0011056,              0.0011056
                     37,                0.99046,                0.57227,                0.85164,                0.94092,                0.85283,                0.91722,                0.65121,                0.83863,                0.51949,                0.81445,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.0069,                0.56408,                0.85344,                0.92838,                0.85244,                0.90777,                 0.6492,                0.89957,                0.56582,                 0.8151,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.0023,                0.56143,                0.84794,                0.93938,                0.83645,                0.91854,                0.65234,                0.90872,                0.55147,                0.81715,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.0062,                0.57105,                0.85178,                0.95028,                0.81014,                0.90782,                0.66149,                0.88243,                 0.5767,                0.81615,              0.0010891,              0.0010891,              0.0010891
                     41,                0.98655,                0.56675,                0.84393,                0.92514,                0.84389,                0.91349,                0.65183,                0.84422,                0.55124,                0.81089,               0.001085,               0.001085,               0.001085
                     42,                0.98747,                0.55227,                0.85038,                0.96683,                 0.8106,                0.92026,                0.66824,                0.86013,                0.52951,                0.80971,              0.0010809,              0.0010809,              0.0010809
                     43,                0.97388,                0.54413,                0.84793,                0.95214,                0.81194,                0.91094,                0.65721,                0.86435,                0.53205,                0.81766,              0.0010768,              0.0010768,              0.0010768
                     44,                0.99715,                0.55306,                0.85192,                0.93975,                0.81536,                0.91781,                0.66934,                0.85403,                 0.5633,                 0.8152,              0.0010726,              0.0010726,              0.0010726
                     45,                0.97527,                0.54753,                0.84623,                 0.9498,                0.84961,                0.92532,                0.65963,                0.90131,                0.52671,                0.81726,              0.0010685,              0.0010685,              0.0010685
                     46,                0.99698,                0.56985,                0.85242,                0.91219,                0.84205,                0.91347,                0.65265,                0.85756,                0.54357,                0.81328,              0.0010644,              0.0010644,              0.0010644
                     47,                0.96933,                0.54725,                 0.8395,                0.91923,                 0.8445,                0.90741,                0.64607,                0.86374,                 0.5264,                0.81209,              0.0010603,              0.0010603,              0.0010603
                     48,                0.96585,                0.53582,                0.84399,                0.96589,                0.84758,                0.91644,                0.66546,                0.82003,                0.50461,                0.80665,              0.0010561,              0.0010561,              0.0010561
                     49,                0.95472,                0.53204,                0.84401,                0.95187,                 0.8352,                0.91856,                0.66173,                 0.8357,                0.51981,                0.81147,               0.001052,               0.001052,               0.001052
                     50,                0.96045,                0.53165,                0.84339,                0.96975,                0.80113,                 0.9114,                0.65614,                0.85809,                0.54735,                0.81041,              0.0010479,              0.0010479,              0.0010479
                     51,                0.96719,                0.53236,                 0.8378,                0.95205,                0.84028,                0.92021,                0.67251,                0.83346,                0.51326,                0.81104,              0.0010438,              0.0010438,              0.0010438
                     52,                0.94903,                0.53775,                0.83692,                0.95082,                0.84986,                 0.9241,                0.67039,                0.84377,                0.52425,                0.81141,              0.0010396,              0.0010396,              0.0010396
                     53,                0.96652,                0.53718,                0.84454,                0.93268,                  0.843,                0.92258,                0.67992,                0.83162,                0.51339,                0.80932,              0.0010355,              0.0010355,              0.0010355
                     54,                0.96042,                 0.5336,                0.83643,                0.97679,                0.84309,                0.92299,                0.67705,                0.83781,                0.52296,                0.80888,              0.0010314,              0.0010314,              0.0010314
                     55,                0.93201,                0.52233,                0.83667,                0.93329,                0.86742,                0.92562,                0.66032,                0.86822,                0.52938,                0.81065,              0.0010273,              0.0010273,              0.0010273
                     56,                0.93773,                0.51911,                0.83702,                0.97665,                0.82132,                0.92922,                0.67167,                0.82625,                0.50186,                0.80966,              0.0010231,              0.0010231,              0.0010231
                     57,                0.93685,                0.53318,                0.83856,                0.88355,                 0.8405,                0.91048,                0.66261,                  0.838,                0.56356,                0.81245,               0.001019,               0.001019,               0.001019
                     58,                0.91406,                0.50329,                0.83805,                0.92539,                0.84111,                0.92144,                 0.6875,                0.83272,                0.52752,                0.80629,              0.0010149,              0.0010149,              0.0010149
                     59,                0.93936,                 0.5242,                 0.8376,                0.93428,                0.83583,                0.91664,                0.67924,                0.80576,                0.52563,                0.80764,              0.0010107,              0.0010107,              0.0010107
                     60,                0.92966,                0.51187,                0.83499,                0.94904,                0.86334,                0.92957,                0.67561,                0.84545,                0.49572,                0.80786,              0.0010066,              0.0010066,              0.0010066
                     61,                0.93597,                0.51649,                 0.8368,                0.93163,                0.85525,                 0.9248,                0.69022,                0.81785,                0.51504,                0.80752,              0.0010025,              0.0010025,              0.0010025
                     62,                0.92731,                0.50645,                0.83838,                0.93842,                0.83368,                0.91363,                0.67436,                0.81126,                0.53898,                0.80725,             0.00099837,             0.00099837,             0.00099837
                     63,                0.93376,                0.51265,                0.84284,                0.94789,                0.82565,                  0.909,                 0.6587,                0.83147,                0.51813,                0.81012,             0.00099425,             0.00099425,             0.00099425
                     64,                0.92397,                0.51162,                0.83453,                0.96446,                0.80812,                0.90564,                0.66794,                0.80892,                0.52662,                0.80705,             0.00099013,             0.00099013,             0.00099013
                     65,                0.89839,                0.49401,                0.83257,                0.96507,                0.80206,                0.91587,                0.66696,                0.79931,                0.49418,                 0.8027,               0.000986,               0.000986,               0.000986
                     66,                0.90277,                0.49644,                0.83461,                0.92931,                  0.832,                 0.9068,                0.65875,                0.83402,                0.52202,                 0.8078,             0.00098187,             0.00098187,             0.00098187
                     67,                0.90208,                 0.4949,                0.83726,                0.96951,                0.79707,                0.92755,                0.67357,                0.81249,                0.48786,                0.80663,             0.00097775,             0.00097775,             0.00097775
                     68,                0.88848,                0.48527,                0.83728,                0.97548,                0.84198,                0.92609,                  0.679,                0.77998,                0.48845,                0.80483,             0.00097362,             0.00097362,             0.00097362
                     69,                0.89995,                0.49778,                0.83569,                 0.9107,                0.86181,                0.92205,                 0.6858,                0.80689,                0.50633,                0.80733,              0.0009695,              0.0009695,              0.0009695
