epoch,		train_loss,		val_loss,		val_accuracy,		precision,		recall,		f1_score
1,			1.0421,			0.4738,			0.8478,				0.7921,			0.7937,		0.7783
2,			0.4338,			0.3703,			0.8955,				0.8660,			0.8434,		0.8454
3,			0.3379,			0.2478,			0.9204,				0.8974,			0.8784,		0.8824
4,			0.3095,			0.2383,			0.9256,				0.9066,			0.8935,		0.8959
5,			0.2711,			0.2253,			0.9289,				0.9033,			0.8873,		0.8865
6,			0.2471,			0.2215,			0.9266,				0.9073,			0.8934,		0.8900
7,			0.2239,			0.1672,			0.9466,				0.9221,			0.9258,		0.9224
8,			0.2491,			0.1538,			0.9488,				0.9218,			0.9239,		0.9218
9,			0.1944,			0.1545,			0.9506,				0.9384,			0.9211,		0.9251
10,			0.1968,			0.1414,			0.9504,				0.9275,			0.9249,		0.9233
11,			0.1669,			0.1295,			0.9570,				0.9432,			0.9339,		0.9368
12,			0.2295,			0.1620,			0.9465,				0.9315,			0.9268,		0.9283
13,			0.1705,			0.1434,			0.9550,				0.9450,			0.9312,		0.9352
14,			0.1549,			0.1597,			0.9482,				0.9130,			0.9112,		0.9099
15,			0.1860,			0.1769,			0.9467,				0.9297,			0.9227,		0.9254
16,			0.1316,			0.0983,			0.9672,				0.9526,			0.9437,		0.9472
17,			0.0976,			0.0789,			0.9747,				0.9605,			0.9581,		0.9589
18,			0.0876,			0.0794,			0.9724,				0.9548,			0.9529,		0.9534
19,			0.0856,			0.0674,			0.9781,				0.9676,			0.9600,		0.9633
20,			0.0747,			0.0722,			0.9737,				0.9607,			0.9573,		0.9588
21,			0.0716,			0.0643,			0.9791,				0.9701,			0.9623,		0.9654
22,			0.0725,			0.0681,			0.9759,				0.9650,			0.9597,		0.9619
23,			0.0676,			0.0619,			0.9787,				0.9698,			0.9689,		0.9692
24,			0.0656,			0.0657,			0.9765,				0.9617,			0.9580,		0.9591
25,			0.0638,			0.0672,			0.9769,				0.9689,			0.9562,		0.9609
26,			0.0605,			0.0613,			0.9790,				0.9671,			0.9640,		0.9653
27,			0.0637,			0.0573,			0.9787,				0.9676,			0.9635,		0.9649
28,			0.0590,			0.0518,			0.9823,				0.9741,			0.9690,		0.9711
29,			0.0567,			0.0595,			0.9798,				0.9683,			0.9699,		0.9690
30,			0.0560,			0.0530,			0.9819,				0.9745,			0.9685,		0.9711
31,			0.0549,			0.0539,			0.9811,				0.9701,			0.9669,		0.9681
32,			0.0519,			0.0597,			0.9796,				0.9698,			0.9647,		0.9669
33,			0.0511,			0.0507,			0.9833,				0.9715,			0.9676,		0.9692
34,			0.0498,			0.0538,			0.9824,				0.9747,			0.9714,		0.9729
35,			0.0496,			0.0574,			0.9819,				0.9719,			0.9668,		0.9686
36,			0.0487,			0.0506,			0.9819,				0.9710,			0.9654,		0.9680
37,			0.0489,			0.0483,			0.9848,				0.9768,			0.9718,		0.9739
38,			0.0478,			0.0497,			0.9829,				0.9715,			0.9688,		0.9698
39,			0.0476,			0.0495,			0.9836,				0.9735,			0.9726,		0.9728
40,			0.0471,			0.0486,			0.9842,				0.9780,			0.9739,		0.9757
41,			0.0495,			0.0508,			0.9813,				0.9694,			0.9673,		0.9682
42,			0.0461,			0.0528,			0.9829,				0.9731,			0.9724,		0.9727
43,			0.0497,			0.0480,			0.9839,				0.9755,			0.9717,		0.9734
44,			0.0462,			0.0452,			0.9850,				0.9770,			0.9746,		0.9757
45,			0.0481,			0.0497,			0.9837,				0.9762,			0.9723,		0.9739
46,			0.0481,			0.0465,			0.9847,				0.9773,			0.9752,		0.9760
47,			0.0472,			0.0519,			0.9824,				0.9722,			0.9645,		0.9679
48,			0.0473,			0.0496,			0.9837,				0.9749,			0.9715,		0.9731
49,			0.0468,			0.0427,			0.9859,				0.9769,			0.9738,		0.9751
50,			0.0482,			0.0433,			0.9847,				0.9748,			0.9722,		0.9733
51,			0.0477,			0.0499,			0.9841,				0.9742,			0.9695,		0.9716
52,			0.0486,			0.0491,			0.9842,				0.9766,			0.9733,		0.9747
53,			0.0486,			0.0470,			0.9838,				0.9737,			0.9710,		0.9722
54,			0.0433,			0.0484,			0.9839,				0.9722,			0.9716,		0.9719
55,			0.0465,			0.0481,			0.9823,				0.9708,			0.9686,		0.9695
56,			0.0470,			0.0435,			0.9850,				0.9757,			0.9730,		0.9743
57,			0.0491,			0.0501,			0.9819,				0.9725,			0.9683,		0.9702
58,			0.0442,			0.0503,			0.9830,				0.9749,			0.9714,		0.9731
59,			0.0476,			0.0465,			0.9844,				0.9755,			0.9725,		0.9738
60,			0.0509,			0.0520,			0.9829,				0.9749,			0.9704,		0.9723
