epoch,		train_loss,		val_loss,		val_accuracy,		precision,		recall,		f1_score
1,			0.6696,			0.1983,			0.9345,				0.9108,			0.8928,		0.8954
2,			0.2473,			0.1403,			0.9536,				0.9267,			0.9257,		0.9239
3,			0.1957,			0.1283,			0.9595,				0.9410,			0.9385,		0.9361
4,			0.1833,			0.1059,			0.9643,				0.9482,			0.9390,		0.9426
5,			0.1589,			0.0989,			0.9691,				0.9575,			0.9459,		0.9486
6,			0.1481,			0.0893,			0.9726,				0.9563,			0.9529,		0.9534
7,			0.1320,			0.0832,			0.9749,				0.9664,			0.9561,		0.9602
8,			0.1192,			0.0704,			0.9787,				0.9703,			0.9684,		0.9689
9,			0.1174,			0.0697,			0.9787,				0.9697,			0.9623,		0.9646
10,			0.1040,			0.0680,			0.9788,				0.9650,			0.9674,		0.9658
11,			0.1081,			0.0837,			0.9765,				0.9662,			0.9598,		0.9621
12,			0.0904,			0.0739,			0.9773,				0.9687,			0.9583,		0.9611
13,			0.0919,			0.0663,			0.9811,				0.9770,			0.9623,		0.9686
14,			0.0838,			0.0589,			0.9829,				0.9754,			0.9727,		0.9737
15,			0.0805,			0.0707,			0.9815,				0.9742,			0.9650,		0.9681
16,			0.0732,			0.0646,			0.9819,				0.9730,			0.9730,		0.9727
17,			0.0732,			0.0558,			0.9830,				0.9740,			0.9687,		0.9697
18,			0.0703,			0.0652,			0.9826,				0.9746,			0.9720,		0.9728
19,			0.0677,			0.0618,			0.9829,				0.9792,			0.9701,		0.9740
20,			0.0671,			0.0538,			0.9840,				0.9775,			0.9778,		0.9774
21,			0.0576,			0.0584,			0.9835,				0.9753,			0.9723,		0.9734
22,			0.0658,			0.0530,			0.9847,				0.9731,			0.9734,		0.9728
23,			0.0539,			0.0490,			0.9869,				0.9806,			0.9804,		0.9804
24,			0.0567,			0.0417,			0.9874,				0.9820,			0.9811,		0.9813
25,			0.0520,			0.0417,			0.9880,				0.9829,			0.9831,		0.9829
26,			0.0503,			0.0526,			0.9856,				0.9809,			0.9727,		0.9756
27,			0.0487,			0.0393,			0.9882,				0.9823,			0.9801,		0.9810
28,			0.0462,			0.0490,			0.9876,				0.9786,			0.9811,		0.9796
29,			0.0448,			0.0447,			0.9895,				0.9849,			0.9843,		0.9843
30,			0.0437,			0.0586,			0.9846,				0.9789,			0.9749,		0.9766
31,			0.0478,			0.0402,			0.9872,				0.9790,			0.9764,		0.9775
32,			0.0279,			0.0339,			0.9903,				0.9848,			0.9840,		0.9844
33,			0.0244,			0.0251,			0.9922,				0.9892,			0.9867,		0.9878
34,			0.0186,			0.0276,			0.9921,				0.9889,			0.9867,		0.9877
35,			0.0203,			0.0282,			0.9921,				0.9882,			0.9864,		0.9873
36,			0.0181,			0.0272,			0.9926,				0.9891,			0.9870,		0.9879
37,			0.0158,			0.0266,			0.9935,				0.9893,			0.9899,		0.9895
38,			0.0165,			0.0295,			0.9923,				0.9887,			0.9886,		0.9886
39,			0.0175,			0.0267,			0.9927,				0.9884,			0.9880,		0.9882
40,			0.0143,			0.0256,			0.9926,				0.9885,			0.9875,		0.9880
41,			0.0143,			0.0240,			0.9931,				0.9884,			0.9895,		0.9889
42,			0.0140,			0.0266,			0.9926,				0.9889,			0.9887,		0.9888
43,			0.0141,			0.0284,			0.9922,				0.9872,			0.9872,		0.9871
44,			0.0146,			0.0281,			0.9924,				0.9871,			0.9870,		0.9869
45,			0.0131,			0.0257,			0.9926,				0.9886,			0.9880,		0.9882
46,			0.0152,			0.0243,			0.9931,				0.9910,			0.9901,		0.9906
47,			0.0140,			0.0276,			0.9924,				0.9895,			0.9885,		0.9890
48,			0.0132,			0.0276,			0.9922,				0.9888,			0.9880,		0.9884
