2024:07:18 08:49:12Z,33.00000000000
2024:07:18 08:49:13Z,38.00000000000
2024:07:18 08:49:14Z,42.00000000000
2024:07:18 08:49:15Z,48.00000000000
2024:07:18 08:49:16Z,51.00000000000
2024:07:18 08:49:17Z,53.00000000000
2024:07:18 08:49:18Z,56.00000000000
2024:07:18 08:49:19Z,59.00000000000
2024:07:18 08:49:20Z,62.00000000000
2024:07:18 08:49:21Z,66.00000000000
2024:07:18 08:49:22Z,68.00000000000
2024:07:18 08:49:23Z,69.00000000000
2024:07:18 08:49:24Z,69.00000000000
2024:07:18 08:49:25Z,71.00000000000
2024:07:18 08:49:26Z,73.00000000000
2024:07:18 08:49:27Z,72.00000000000
2024:07:18 08:49:28Z,72.00000000000
2024:07:18 08:49:29Z,72.00000000000
2024:07:18 08:49:30Z,71.00000000000
2024:07:18 08:49:31Z,71.00000000000
2024:07:18 08:49:32Z,67.00000000000
2024:07:18 08:49:33Z,65.00000000000
2024:07:18 08:49:34Z,61.00000000000
2024:07:18 08:49:35Z,58.00000000000
2024:07:18 08:49:36Z,52.00000000000
2024:07:18 08:49:37Z,41.00000000000
2024:07:18 08:49:38Z,33.00000000000
2024:07:18 08:49:39Z,23.00000000000
2024:07:18 08:49:40Z,15.00000000000
2024:07:18 08:49:41Z,11.00000000000
2024:07:18 08:49:42Z,13.00000000000
2024:07:18 08:49:43Z,16.00000000000
2024:07:18 08:49:44Z,20.00000000000
2024:07:18 08:49:45Z,27.00000000000
2024:07:18 08:49:46Z,30.00000000000
2024:07:18 08:49:47Z,34.00000000000
2024:07:18 08:49:48Z,36.00000000000
2024:07:18 08:49:49Z,37.00000000000
2024:07:18 08:49:50Z,35.00000000000
2024:07:18 08:49:51Z,36.00000000000
2024:07:18 08:49:52Z,33.00000000000
2024:07:18 08:49:53Z,29.00000000000
2024:07:18 08:49:54Z,25.00000000000
2024:07:18 08:49:55Z,25.00000000000
2024:07:18 08:49:56Z,23.00000000000
2024:07:18 08:49:57Z,23.00000000000
2024:07:18 08:49:58Z,24.00000000000
2024:07:18 08:49:59Z,38.00000000000
2024:07:18 08:50:00Z,43.00000000000
2024:07:18 08:50:01Z,43.00000000000
2024:07:18 08:50:02Z,43.00000000000
2024:07:18 08:50:03Z,45.00000000000
2024:07:18 08:50:04Z,51.00000000000
2024:07:18 08:50:05Z,54.00000000000
2024:07:18 08:50:06Z,58.00000000000
2024:07:18 08:50:07Z,60.00000000000
2024:07:18 08:50:08Z,63.00000000000
2024:07:18 08:50:09Z,61.00000000000
2024:07:18 08:50:10Z,61.00000000000
2024:07:18 08:50:11Z,62.00000000000
2024:07:18 08:50:12Z,63.00000000000
2024:07:18 08:50:13Z,64.00000000000
2024:07:18 08:50:14Z,65.00000000000
2024:07:18 08:50:15Z,65.00000000000
2024:07:18 08:50:16Z,65.00000000000
2024:07:18 08:50:17Z,65.00000000000
2024:07:18 08:50:18Z,64.00000000000
2024:07:18 08:50:19Z,65.00000000000
